Date,Open,High,Low,Close,Adj Close,Volume
2018-06-05,1025.000000,1033.469971,1011.500000,1031.800049,1023.149536,8552730
2018-06-06,1030.099976,1032.400024,1022.500000,1028.680054,1020.055664,4891000
2018-06-07,1036.599976,1039.900024,1026.599976,1031.099976,1022.455261,5281948
2018-06-08,1029.500000,1030.619995,1017.500000,1024.680054,1016.089233,3090444
2018-06-11,1025.949951,1031.469971,1019.400024,1021.150024,1012.588745,3545594
2018-06-12,1025.949951,1026.349976,1019.200012,1021.919983,1013.352295,2617128
2018-06-13,1026.000000,1027.400024,1012.049988,1015.719971,1007.204285,3948980
2018-06-14,1015.000000,1022.500000,1012.500000,1018.700012,1010.159302,8463788
2018-06-15,1013.000000,1019.450012,1011.150024,1014.799988,1006.291992,5440408
2018-06-18,1015.049988,1019.400024,1004.549988,1009.580017,1001.115784,3743702
2018-06-19,1012.469971,1020.349976,1009.650024,1011.750000,1003.267578,5490576
2018-06-20,1013.000000,1029.000000,1012.500000,1028.069946,1019.450684,4525856
2018-06-21,1030.000000,1035.400024,1023.530029,1028.800049,1020.174683,6755352
2018-06-22,1028.469971,1044.400024,1024.930054,1041.680054,1032.946655,3924490
2018-06-25,1041.530029,1048.900024,1036.530029,1047.469971,1038.688110,3496168
2018-06-26,1043.030029,1051.500000,1039.930054,1046.849976,1038.073242,4580966
2018-06-27,1046.500000,1059.750000,1045.000000,1056.300049,1047.444092,9563402
2018-06-28,1057.500000,1070.000000,1055.599976,1065.430054,1056.497559,18766770
2018-06-29,1060.849976,1070.000000,1052.550049,1054.219971,1045.381470,9729060
2018-07-02,1054.180054,1054.199951,1031.619995,1036.619995,1027.929077,4932438
2018-07-03,1036.619995,1042.500000,1032.800049,1035.099976,1026.421753,3431550
2018-07-04,1038.119995,1054.030029,1034.500000,1051.780029,1042.962036,3048996
2018-07-05,1052.500000,1064.500000,1046.280029,1061.880005,1052.977295,4867984
2018-07-06,1056.650024,1067.780029,1055.680054,1057.569946,1048.703369,4060672
2018-07-09,1060.930054,1065.000000,1053.880005,1062.819946,1053.909302,3091148
2018-07-10,1064.949951,1074.800049,1062.500000,1073.199951,1064.202393,5475368
2018-07-11,1072.530029,1077.849976,1067.400024,1074.119995,1065.114624,2928960
2018-07-12,1076.449951,1089.930054,1076.000000,1082.969971,1073.890381,4010334
2018-07-13,1084.199951,1095.400024,1081.550049,1090.449951,1081.307739,3580594
2018-07-16,1089.699951,1095.030029,1081.880005,1084.430054,1075.338379,4508668
2018-07-17,1081.619995,1090.500000,1081.619995,1088.380005,1079.255127,3180962
2018-07-18,1093.500000,1110.000000,1086.819946,1088.099976,1078.977417,8730136
2018-07-19,1091.500000,1096.750000,1085.500000,1093.050049,1083.885986,2652388
2018-07-20,1093.050049,1101.430054,1085.550049,1094.530029,1085.353638,5003482
2018-07-23,1075.000000,1089.000000,1069.030029,1078.219971,1069.180298,8440066
2018-07-24,1073.500000,1084.500000,1073.500000,1079.880005,1070.826416,2604396
2018-07-25,1082.319946,1088.400024,1080.000000,1085.180054,1076.082031,3519308
2018-07-26,1082.500000,1101.719971,1082.500000,1096.300049,1087.108765,10640546
2018-07-27,1100.969971,1105.969971,1092.349976,1101.069946,1091.838745,5277298
2018-07-30,1099.500000,1099.500000,1079.699951,1084.949951,1075.853760,3584560
2018-07-31,1080.000000,1092.949951,1075.030029,1089.750000,1080.613525,4430472
